idDBLP,idScholar,DBLP_Match,Scholar_Match,Match_ID
conf/vldb/Levy96,lDTPyBMtHVwJ,1996,14,1996_14
conf/vldb/HuntAI01,0GT_dHqK5roJ,1135,17,1135_17
journals/sigmod/Stonebraker02,0HMk-YUh4i8J,246,26,246_26
conf/vldb/YuV00,43N2r_SuYccJ,1200,57699,1200_57699
journals/sigmod/CareyS99,url:http://portal.acm.org/ft_gateway.cfm%3Fid%3D310071%26type%3Dpdf%26dl%3DGUIDE%26dl%3DACM%26CFID%3D11111111%26CFTOKEN%3D2222222,429,167,429_167
conf/vldb/HulgeriS02,syoqNSarAscJ,2212,181,2212_181
conf/vldb/HulgeriS02,xGcM9AuhrBMJ,2212,53503,2212_53503
journals/sigmod/GobleR02,url:http://portal.acm.org/ft_gateway.cfm%3Fid%3D507366%26type%3Dpdf%26dl%3DGUIDE%26dl%3DACM%26CFID%3D11111111%26CFTOKEN%3D2222222,249,192,249_192
conf/sigmod/ArasuG03,zN8ngmWNDlgJ,212,203,212_203
conf/sigmod/ColeG94,z_W8jZ203sUJ,1750,242,1750_242
conf/vldb/Mina98,ButmJWjGXusJ,1784,257,1784_257
conf/sigmod/AdaliSS99,bhWLVCoDuNQJ,959,12405,959_12405
conf/vldb/WuFSP00,XojbAfbtdvcJ,1205,12904,1205_12904
journals/sigmod/ChienTZ01,cjBpI3TcSWsJ,142,369,142_369
journals/sigmod/DrewHKKLLLSW95,9fcJjh5vHn8J,853,405,853_405
conf/vldb/ChatziantoniouR96,46FVYbhr0WoJ,1987,463,1987_463
conf/vldb/DoDJJR98,69kmXg9nRZkJ,1757,478,1757_478
journals/vldb/FiletoLPAM03,VWbm4EeeFNMJ,2292,488,2292_488
conf/sigmod/JagatheesanR03,QDqI_QZyy10J,288,532,288_532
conf/sigmod/JagatheesanR03,hHMtxXFlyu8J,288,58316,288_58316
conf/sigmod/FernandezFKLS97,ek26aiEheesJ,1376,562,1376_562
journals/vldb/HelmerM03,fz4PKDuWGmoJ,2287,585,2287_585
conf/vldb/KochBG03,xCbXlJHLR48J,2086,587,2086_587
conf/vldb/CormodeKMS03,0ZQnv8tOzBwJ,2115,633,2115_633
conf/vldb/ChaudhuriGN03,sAYCyUcugbYJ,2012,656,2012_656
conf/sigmod/KuhnTS94,JnV4W3TKPxMJ,1846,674,1846_674
conf/vldb/ChaudhuriW00,OuM0E0BhEXIJ,1397,705,1397_705
conf/vldb/TianD03,l7glyH7ltuQJ,2103,712,2103_712
conf/vldb/PottingerB03,Q6pHDaV3sG4J,2003,10775,2003_10775
journals/sigmod/SommerGB02,8l5_eKZcCh8J,230,810,230_810
conf/sigmod/Hellerstein94,Nn0LzB8rUPEJ,1785,836,1785_836
conf/sigmod/KornMZ03,6VAQeD6muakJ,413,842,413_842
conf/vldb/YanL95,BNyeiu2AmWAJ,1980,4889,1980_4889
conf/vldb/YanL95,VwsS71_KQX8J,1980,47718,1980_47718
conf/vldb/KamelF94,A7WoAzxOJ9YJ,255,849,255_849
conf/sigmod/KrishnamurthyBN99,qS4jhfgPbm8J,987,906,987_906
journals/vldb/ShanmugasundaramSBCLPR01,HKM-zP0LT_UJ,2490,53020,2490_53020
journals/tods/HjaltasonS99,xuoJNqOArTsJ,2373,923,2373_923
conf/vldb/KietzRS97,L4k3lAWc-JgJ,1890,1009,1890_1009
conf/vldb/BohlenSS96,gcoLSYEk0HIJ,1810,1024,1810_1024
conf/vldb/BohlenSS96,MqokIdCr2oIJ,1810,42879,1810_42879
journals/sigmod/Fong97,rgJU30QjbhkJ,562,1034,562_1034
journals/vldb/KashyapS96,yWyvTMAVVzwJ,2519,19377,2519_19377
journals/sigmod/Dogac02,YG9Js5mJbV0J,227,1086,227_1086
journals/sigmod/Dogac02,dNM-avLn230J,227,8539,227_8539
journals/sigmod/Dogac98,YG9Js5mJbV0J,409,1086,409_1086
journals/sigmod/Dogac98,dNM-avLn230J,409,8539,409_8539
journals/sigmod/Aberer03c,YG9Js5mJbV0J,1901,1086,1901_1086
journals/sigmod/Aberer03c,dNM-avLn230J,1901,8539,1901_8539
journals/sigmod/Aberer03c,url:http://portal.acm.org/citation.cfm%3Fid%3D945721.945727%26coll%3DGUIDE%26dl%3DACM%26idx%3DJ689%26part%3Dperiodical%26WantType%3Dperiodical%26title%3DACM%2520SIGMOD%2520Record%26CFID%3D11111111%26CFTOKEN%3D2222222,1901,10486,1901_10486
journals/sigmod/MeersmanS02,YG9Js5mJbV0J,2589,1086,2589_1086
journals/sigmod/MeersmanS02,dNM-avLn230J,2589,8539,2589_8539
conf/sigmod/BerchtoldK97,DNVHTz7tMywJ,1369,1105,1369_1105
conf/sigmod/BabcockBDM03,a2wqpKma5J4J,220,1120,220_1120
conf/vldb/MengLYWCR98,8nbZx7j7RAUJ,1618,1171,1618_1171
journals/sigmod/BonnetBDL03,aovCRhocZUcJ,1835,1185,1835_1185
conf/sigmod/LakshmananPZ03,rNu93TfKkd4J,258,1239,258_1239
journals/sigmod/Aberer03a,6MY_fFzgHtgJ,2616,1273,2616_1273
journals/sigmod/Aberer03a,url:http://portal.acm.org/ft_gateway.cfm%3Fid%3D641004%26type%3Dpdf%26dl%3DGUIDE%26dl%3DACM%26CFID%3D11111111%26CFTOKEN%3D2222222,2616,57557,2616_57557
conf/sigmod/FlorescuLMS99,h0uuqAstOPUJ,993,10173,993_10173
journals/sigmod/Vianu03,JgenqfLQC1UJ,1979,1312,1979_1312
conf/sigmod/AshleyFHLNP95,FnnILIjz08EJ,1676,1365,1676_1365
journals/sigmod/BilirisP96,fu9j50Kk4Y4J,656,1397,656_1397
conf/sigmod/Dyreson03,l7KC1qG6OGEJ,373,1430,373_1430
conf/vldb/SavasereON95,N-o3NPu-nbIJ,1954,17630,1954_17630
journals/vldb/IshakbeyogluO98,O9A-15rmzOsJ,2439,1457,2439_1457
journals/vldb/KellerB96,tVoqZpEEHv8J,2510,1499,2510_1499
conf/vldb/AgrawalLSS95,Y799jSppkKEJ,1967,1534,1967_1534
conf/vldb/AgrawalLSS95,PbZkvDhTeyEJ,1967,32233,1967_32233
conf/vldb/LudascherMP02,cxnuI54po5EJ,2215,1553,2215_1553
conf/sigmod/Ellison95,ypIwIw0dXTEJ,1630,1586,1630_1586
conf/sigmod/Ellison95,bv48IKnfBb8J,1630,9557,1630_9557
conf/sigmod/Ellison95,FdkHUCk1ocUJ,1630,19571,1630_19571
conf/sigmod/Ellison95,ESge0RjQQ40J,1630,21215,1630_21215
conf/sigmod/Ellison95,m42J4EvvK_wJ,1630,28121,1630_28121
conf/sigmod/Ellison95,0oK-LZ_kOiAJ,1630,33615,1630_33615
conf/sigmod/Ellison95,99R10lJB_BAJ,1630,37335,1630_37335
